text,intent
뭐 급수호스나 배수호스 더 필요하신건 없으십니까,질문
국유재산 사용료를 기한까지 납부하지 못했는데 어떻게 처리해야 되나요,질문
책임을 떠넘기는 거에요 지금,질문
네 여쭤보시고 싶은게 있으신가요,질문
그러면 선납을 기준으로 하는건가요,질문
그럼 뭐 필요한 서류가 따로 있을까요,질문
개인 기여도 포인트는 얼마나 채워야 하나요,질문
다대포에서 땅콩보트 탈 수 있나요,질문
혹시 야외에서 바베큐를 즐길 수 있는 식당이 있나요,질문
아니면 저희가 찾으러 가거나 하는 방법은 없어요,질문
전번 이시고 고객님 성함이 어떻게 되십니까,질문
네 어떤 부분 말씀하시는 거죠,질문
소속 위치 알려드리면 될까요,질문
그럼 지금 연결해주세요,질문
네 상품은 무엇인가요,질문
네 혹시 상품명이나 번호 확인 가능하실까요,질문
가방에 스크래치가 생긴 것 같은데 에이에스 되나요,질문
네 법정감염병이라고 하시면 코로나 증상이 있었던 건가요,질문
안녕하세요 거기 배송을 어디로 하시나요 소속인가요,질문
미소지움 이 단지 정류장으로 확인됩니다,질문
그러시군요 무엇을 도와드릴까요,질문
홈페이지에 시험 일정이 있어요,질문
개별이라면 단독으로 되어있는거 맞죠,질문
마이 하트 목록도 보관기간이 정해져 있나요,질문
전번 여기로 전화해주시겠어요,질문
어떤 도움이 필요하세요,질문
혹시 상품 버전 이상 사용중 이실까요,질문
정수기 관련 어떤 내용이신가요,질문
신고 포상금은 어떻게 되나요,질문
뭘 챙겨가면 될까요,질문
네 고객님 어떤 부분 궁금하신가요,질문
먼저 어플 실행하시고 좌측 상단에 있는 메뉴 선택해주세요,질문
어떤 도움이 필요하십니까,질문
네 알겠습니다 확인 후 말씀 주세요 기다릴게요,질문
혹시 여기가 주소인데 통학구역에 해당되는 학교를 알 수 있을까요,질문
내방 예약을 말씀하시는건가요,질문
네 올드 문 맞으십니까,질문
혹시 이름 고객님 잠시 통화되겠습니까,질문
네 감사합니다 혹시 다른 질문사항 있으세요,질문
그러시면 어플을 실행해서 로그인을 해주시구요,질문
다른 필요하신 사항이 있나요,질문
선생님 어떤 안내 내용의 추가를 원하시나요,질문
근로자 카드 말고 다른 방법으로 입교도 가능한가요,질문
그럼 그냥 4인용 예약하는 게 저렴하겠네요,질문
신분증 없이 주민등록등본 발급이 가능한가요,질문
허가 예 한번 대줘보세요 허가 쪽에,질문
그래요 가서 신청해야하나요,질문
어떤 부서에 가야하는지 궁금합니다,질문
네 리워드 이벤트 참여 하신 건간요,질문
문의하신 상품이 금일 주문하셨던 상품 맞으실까요,질문
그럼 제가 직접 센터로 가도 되나요,질문
고객님 어떤 문의실까요 편히 말씀해 주세요,질문
계좌 입금으로 입금하나요,질문
이 부분 기획경영과로 연락하시면 됩니다,질문
예 그니까 핸드폰 스마트폰으로요,질문
안녕하세요 국도를 관리하는 기관은 어딘가요,질문
결제 시 현금영수증의 용도와 명의를 어떻게 변경하나요,질문
아 그럼 도착지는 어디실까요,질문
혹시 다른 문의 사항 있으시면 언제든 연락 바랍니다 저는 상담원 이름 이었습니다,질문
네 어떤 문의시죠,질문
오 년 안 되서 그렇게 되는 거예요 구체적으로 어떻게 붙는데요,질문
토요일마다 학교 지역행사에 시간 외 근무를 할 수 있나요,질문
네 알겠습니다 반품 해주세요,질문
거기 말하면 된다는 거죠,질문
아 그러시군요 어떤 코스 안내 도와드릴까요,질문
네 여기 있네요 이거 눌러서 하면 되나요,질문
채식 위주로 맛있게 하는 식당이 있나요,질문
현재 생활기록부를 관리하고 있는 기관은 어디서 확인 가능한가요,질문
그 다음 홈페이지 관리에 들어가셔서 홈페이지 노출 여부를 설정해주세요,질문
그러면 한국말은 전혀 못하시는 거예요,질문
토요일 한 시간 삼십 분 코스 예약하려고 하는데 요금은 얼마인가요,질문
그리고 학습할 강좌와 요일 학습량을 선택해 주시고요,질문
네 삭제되고 있어요 이렇게 하면 끝인가요,질문
안녕하세요 건설현장 책임자율 점검이란 무엇인가요,질문
청소기 연장 부분 부품은 얼마예요,질문
생각보다 적네요 혹시 예외가 있을까요,질문
네 고객님 다른 문의 사항 생기시면 소속으로 연락주세요,질문
네 어떤 문의가 있으실까요,질문
다음 주 월요일에 가려는데 몇 시부터 영업 하시나요,질문
네 여쭤보시고 싶은게 있으신가요,질문
모델명은 잘 모르겠는데 어떻게 알 수 있을까요,질문
네 알겠습니다 안전하게 내려오세요,질문
단체로 가면 차이가 있나요,질문
빛의 속도 초속으로 확인 후 안내드리겠습니다 기다려주시겠습니까,질문
네 무엇을 도와드릴까요,질문
네 궁금하신 사항 지역경제과로 문의주세요,질문
그럼 물류 센터 부산 쪽에 도착은 했나요,질문
비수강중인 경우에는 어떻게 하나요,질문
그리고 주민번호나 휴대폰 번호 현금영수증카드번호 중에 입력하세요,질문
그래요 그럼 대기접수 해야하나요,질문
고객님 모델명 확인되실까요,질문
혹시 게장 무한 리필집이 있다는데 위치를 알고 계실까요,질문
그런가요 그럼 산에 올라서 야경도 볼 수 있겠네요,질문
혹시 체중이나 짚라인 타는 조건이 있을까요,질문
홈페이지에서 신청하면 되나요,질문
맞습니다 지금 전화주실 거예요,질문
자세하게 설명 부탁드릴게요,질문
네 만원이요 그리고 미리 예약하고 가야하죠,질문
로그인 안 하셨으면 로그인 하시고 이벤트 게시판 확인 바랍니다,질문
네 장기 수강에 따른 할인을 받으셨고 중도에 퇴원 하신다는 거죠,질문
성함이랑 연락처 말 먼저 말씀 부탁드립니다,질문
그러면 언제쯤 연락주시나요,질문
접수하면 환불은 얼마나 걸리나요,질문
에이치디씨피라는 용어가 있는데 이게 뭔가요,질문
네 오전중으로 업데이트 예정이오니 오후에 확인 부탁드립니다 고객님,질문
일단 금액을 먼저 알아야 되겠는데,질문
어떻게 해야 하나요,질문
신고인은 부부가 같이 가야하나요,질문
조식 제공도 되나요,질문
그렇군요 요금은 얼마인가요,질문
네 고객님 기타이라는 정류장이시고요 어떤 것이 궁금하신가요,질문
혹시 대여 기준이 있나요,질문
안녕하세요 고객님 무엇이 궁금하신가요,질문
운영 시간이 어떻게 되나요,질문
응시 자격이 따로 있을까요,질문
정비할 계획이오니 조금만 기다려 주세요,질문
네 선생님 문의주시는 내용이 증여관련이십니까,질문
다른 문의사항은 따로 없으신가요,질문
아닙니다 무슨 일로 전화주 셨어요,질문
네 인증 후 비밀번호를 등록해주세요,질문
당장 내일 시험인데 그럼 어떻게 해야 되나요,질문
온라인 고객센터 전화번호가 어떻게 되나요,질문
네 동일 쿠폰은 중복 사용이 안되나요,질문
네 그럼 준비해야 할 사항은 무엇이 있을까요,질문
출근시간이 다 되어 가는데 언제 작업이 되는 거죠,질문
네 연간이용권 어떤 부분 안내해 드릴까요,질문
그럼 주민센터가서 신청하면 되는 거죠 돈은 직접 받으러 가야 해요,질문
주문자분 연락처가 어떻게 되시나요,질문
고기는 제공하지 않나요,질문
네 고객님 말씀하세요 어떤 게 궁금하신가요,질문
ATV 타러 가면 먼저 이용요금 먼저 결제하는 거 맞죠,질문
그래요 그럼 작살은 사용해도 된다는 건가요,질문
처리는 얼마나 걸릴까요,질문
상품 주문하신 거 말씀이세요,질문
고객님 전자레인지가 어떻게 안 되시나요,질문
다른 궁금한점 있으신가요,질문
아직까지도 물건이 안 오고 있는 거는 뭔 뭔 내용입니까,질문
배송 상태가 결제 완료이면 변경 가능한거죠,질문
이걸로 하면 직접 출력이 되나요,질문
네 그럼 전화번호 알려주세요,질문
해당 주차 금지봉은 언제 설치 되었나요,질문
다이빙 예약할 수 있을까요,질문
신청 문의하시려고 말씀하시나요,질문
어디로 전화하면 되나요,질문
10월 16일 11시 이름 전번 2명 예약해주세요,질문
제가 무엇을 도와드릴까요,질문
새로이 취득한 부동산을 기존에 등록한 사업자등록번호로 임대사업이 계속 가능할까요,질문
네 고객님 무엇을 도와드릴까요,질문
영치한다고 하는데요 어떤 경우에 영치대상이 되는 거죠,질문
그렇습니다 다른 문의 사항 있으신가요,질문
안녕하세요 고객님 현금 영수증 관련 문의신가요,질문
네 전화 연결 필요하십니까,질문
혹시 해지하실려는 사유가 어떻게 되시는지 여쭤봐도 될까요,질문
네 천체관측실에서는 어떤 프로그램이 있나요,질문
네 이름 고객님 맞으십니까,질문
정말요 생각보다 얼마 안 걸리네요 도착하면 바로 탈 수 있나요,질문
그럼 한 달 뒤에는 유료로 전환되는 건가요,질문
네 고객님 어떤 내용인지 편히 말씀 부탁드립니다,질문
그러면 이년이 지난 후부터 얼마 동안 받아야 하나요,질문
무통장 입금으로 도와드려도 괜찮을까요 고객님,질문
네 회원가입은 어떻게 하나요,질문
옥천 여행은 처음인데 어딜 가면 좋을까요,질문
발행을 해줘야 하는 거 아닌가요,질문
천체관측하는데 시간은 얼마나 걸리나요,질문
정동진역에서 출발하는 가장 빠른 시간의 셔틀 시간 좀 알려주세요,질문
소독은 제대로 되고 있는 건가요,질문
회원 가입 없이 관세청 홈페이지에서 성명과 주민 등록 번호 입력해 주세요,질문
네 탈퇴했는데 기존에 있던 개인 정보 복원이 가능할까요,질문
아니요 회원탈퇴하면 혜택은 어떻게 되나요,질문
그럼 피크시즌 주말 요금은 얼마인가요,질문
3학년으로 편입해서 졸업을 하게 되면 어떤 혜택이 있나요,질문
학교 교육활동 행사 인력지원이 뭔가요,질문
어떤 체험이 있나요,질문
네 이천쌀밥이 유명하죠 평일은 몇 시까지 영업하시나요,질문
그거 신청하려면 어떤 걸 해야 돼요,질문
그래요 오늘 발송이라니까 믿어볼게요,질문
꼭 좀 연락 주세요,질문
개인정보가 어떻게 된다구요 다시 말씀해 주세요,질문
오전이 제일 괜찮죠,질문
여기 한국인데요 갑자기 메시지 뜨면서 영상이 안 나와요,질문
네 반품을 보내셨다고요,질문
네 그렇습니다 추가 문의 사항 있으신가요,질문
고객님 거실등 박스에 같이 들어 있지 않나요,질문
네 맞아요 예약상품은 배송일정이 어떻게 되는지 알 수 있을까요,질문
네 잘 아시는 분으로 부탁드릴게요 감사합니다,질문
브이 아이 피 고객 등급 기준이 뭔가요,질문
그러면 어떻게 신청해야 하나요,질문
혹시 고장 문의 사항 이십니까,질문
저희 소속에서 제공되는 HWP 파일을 보거나 인쇄하시려는 거죠,질문
결제는 어떤 걸로 도와드릴까요,질문
성함이랑 휴대폰 번호 좀 알려주세요,질문
반갑습니다 고객님 회원가입 말씀이십니까,질문
혹시 지금 전화 끊지 마시구요 전원을 일단 다 일제히 꺼주세요,질문
그렇죠 한번 고민해 보시겠어요,질문
네 그러시면 소속 전번에 문의주시면 좋으실 듯 싶습니다,질문
아이들이 즐길 게 있을까요,질문
고객님 어떤 문의실지 편히 말씀해 주세요,질문
어느 은행 거 보내드리면 될까요,질문
네 말씀 하십시오,질문
표는 어디서 사는 건가요,질문
만약에 재입학이 허가된 학생은 요,질문
혹시 식당 내 어린이 놀이방이 있을까요,질문
정수기 필터는 어디서 구매하나요,질문
혹시 어느 보험 공단이십니까,질문
고객님 무엇을 도와드릴까요,질문
그리고 더 없을까요,질문
제가 지금 주 5회 수업인데 주 2회로 변경이 가능할까요,질문
기사 방문 하시면 출장비 있죠,질문
행복 가득한 소속 이름입니다 무엇을 도와드릴까요,질문
이거 어디에 올려요,질문
서랍식으로 된거고요 사용하신지는 얼마나 되셨어요,질문
그럼 따로 재신청을 한다던가 하면 연장 수강이 안되는 거예요,질문
고객님께서 현재 행정사이신게 맞으신가요,질문
그러면 취소하고 다시 하면 가능한건가요,질문
물놀이 택 2종과 3종 4종이 있는데 어떤걸 원하시나요,질문
저 숙박 업체 중에서 조식 제공되는 곳 안내 부탁드리려고요,질문
후드 시설 불량 단속 좀 부탁드려요,질문
그쪽 번호가 어떻게 되나요,질문
담배 도매업 등록은 어디서 합니까,질문
죄송하지만 상세한 주소 한 번만 불러주세요 길을 못 찾아서요,질문
그럼 기간제교사의 경력도 교육경력으로 산입 되나요,질문
아니면 손가락 부분에서 조절가능할까요,질문
주말 빼고 일주일이 걸린다구요,질문
선생님 소속의 어떤 것에 관한 문의시죠,질문
이름 고객님 명의의 정수기를 고객님 앞으로 명의이전 신청하셨죠,질문
네 어떤 문의 사항으로 연락 주셨을까요,질문
네 자세히 좀 알려주세요,질문
영리목적이 아닌 안마 마사지를 교육하는 것 자체가 위법인가요,질문
패러세일링 탈 때 미리 준비해야 할 게 있을까요,질문
고객님 지금 이게 업체에서 만들어서 파는 제품이세요,질문
주문 취소는 어떻게 하나요,질문
그럼 저희 상품 전문 상담사에게 상담을 받아보시겠어요,질문
고객님 제품이 일반 스탠드형이세요,질문
네 거기 방문하고 싶은데 예약 되나요,질문
네 가능합니다 말씀해주세요,질문
네 고객님 여쭤 보시고 싶은 게 있으신가요,질문
네 어떤 문의이실까요,질문
네 더 궁금하신 사항 없으신가요,질문
다른 문의 사항 있으신가요,질문
어떤 민원을 제기하셨습니까 선생님,질문
네 어떤게 궁금하신가요,질문
안녕하세요 상품검사가 뭔지 궁금해서요,질문
소속으로 계좌번호 주세요,질문
혹시 대소문자 구별을 정확히 해 주셨나요,질문
해당 관련과가 있으면 연락 부탁드려요,질문
알겠습니다 확인하시고 알려주세요,질문
네 그런데 의무교육이라서 자퇴가 안되는데 방법 없을까요,질문
네 학습 종료 후 수료여부는 어떻게 확인하나요,질문
실례지만 지역이 어느 시나 어느 군이십니까,질문
반갑습니다 어떤 문의인지 먼저 말씀해 주시겠습니까,질문
수강후기 작성하면 어떤 혜택이 있는 거예요,질문
오리고기 전문점이라고 하던데 추천 메뉴가 무엇인가요,질문
호텔에 추가 시설 뭐가 더 있을까요,질문
네 그래서 어떤게 다른건가요,질문
혹시 정확한 장소가 어디일까요,질문
관람료가 별도로 있나요,질문
계약제 교원 어떤 문의 하십니까,질문
네 혹시 그 냉장만 안 되는 건가요 냉동실도 안 되는 건가요,질문
어플로 안내 부탁드립니다,질문
그게 다 인가요,질문
네 추가 문의사항은 없으신가요,질문
모든교재보기 메뉴를 선택해주세요,질문
문의하신 내용은 학교 알리미 사이트에서 확인하실 수 있으세요,질문
생각보다 해당 되는 곳이 많네요 경로할인과 비교하면 저렴한가요,질문
성인만 아니면 다 참여할 수 있군요,질문
메일로 인증번호가 날라오면 입력창에 입력하면 되나요,질문
대전 서구 주소맞으신가요,질문
거기 아이디랑 비밀 번호는 뭐로 입력해야 돼요,질문
아 그래요 꽉 찼어요,질문
네 선생님 말씀 주세요,질문
다시 한 번 상품번호 확인해 주실 수 있나요,질문
네 그러시면 방문상담 예약 확인증하고 성적증명서를 지참하시면 되세요,질문
제가 지금 바로 보내드릴게요 고객님 잠시만 기다려주세요,질문
모바일 기기는 핸드폰과 탭 전부 이용 가능한거죠,질문
그러면 어떻게 해야 햐죠,질문
네 방문 시간대는 언제로 확인해 드릴까요,질문
네 선생님 질문 하나 드려도 될까요,질문
저희가 지금 출고되는 고객님께 알림톡으로 발송되고 있는데 못 받으셨습니까 고객님,질문
네 무엇을 도와드릴까요,질문
예 이거 오 회 이상 틀리면 안 되는 거예요,질문
구입할 수 있는지를 알아봐주실 수 있나요,질문
주문한 상품이 상품준비중인데 언제 받을 수 있나요,질문
일단 구매 내역이 있어야 가능하기 때문에 확인을 해보도록 하겠습니다,질문
네 코스에 어떤 부분 궁금하신가요,질문
그래요 십 일전에 구매하면 되는 거죠,질문
상품 미디어 플레이어 실행되면 상단 도구에서 옵션을 클릭해 주시고요,질문
다운로드가 다 되면 홈화면에서 상품을 열어주세요,질문
그러시군요 회원님 성함을 말씀해 주시겠습니까,질문
감사합니다 성명 주소 전화번호 제공에 동의해 주시겠습니까,질문
네 무엇을 도와드릴까요,질문
물건을 많이 사도 배송비가 다 붙나요,질문
자동 세척을 권장드립니다 고객님,질문
허가는 어떤 식으로 받아야 되나요,질문
앵콜 공연이 어디에서 열릴까요,질문
모델명 확인해 주시는 게 가장 좋긴 합니다,질문
소재 특성상 불꽃이나 뜨거운 물체에 닿지 않도록 주의해주세요,질문
네 그렇게 좀 부탁드려요 감사합니다,질문
네 어머님 무엇을 도와드릴까요,질문
버스 이동은 몇분정도 걸리나요,질문
네 소속 금융 이름 맞습니까,질문
소속 쇼핑몰 맞나요 여쭤볼 게 있어서 전화했습니다,질문
지금 이 지금 시간대가 좋은데요,질문
그럼 지금 환불 처리하면 언제 입금되나요,질문
고객님 회원 탈퇴하시려고 하십니까,질문
네 자세한 사항은 카드사로 문의해 주세요,질문
성함은 어떻게 되십니까,질문
어떤 도움 필요하세요 고객님,질문
그러셨군요 미리 생각 해 두신 메뉴 있으신가요,질문
우리집 유리창에 따라 다른 거예요,질문
잠시만요 메모를 좀 할게요,질문
그렇군요 그럼 지금 예약 좀 할 수 있을까요,질문
화장품을 사용한 뒤 불편을 겪고 계시다면 우선 제품 사용을 중단하시기 바랍니다,질문
네 지금 접속했거든요 로그인 먼저 하면 되나요,질문
그래요 어떤 메뉴가 대표 메뉴인가요,질문
그거 좋네요 코스 좀 자세히 알려주시겠어요,질문
고객님 방문 접수를 예약할 전화번호는 몇 번인가요,질문
제가 상품을 주문했는데 너무 크네요 반품 도와주세요,질문
그러면 소속 중고매장이면 근처 아무데나 가도 상관 없죠,질문
주소에 소속가 있나요,질문
네 어떤 문의이실까요 고객님,질문
그럼 결제 데이터까지 사라지는 것 아닌가요,질문
감사합니다 제품 구입하셨을 때 혹시 판매 사원과 대면하셨습니까,질문
순천역에 하차 하셔서 버스정류장까지 도보로 200미터 이동하세요,질문
알았어요 그럼 택배사에 전달은 된 거죠,질문
그 후에 어플 종료하시고 재실행 해보시면 되세요,질문
브이아이피 라운지는 브이아이피 아니면 못 들어가요,질문
지역화폐 앱이면 핸드폰에서 하는 거 말인가요,질문
네 다른 문의는 없으십니까,질문
네 말씀해주십시오 어떤 민원이십니까,질문
핸드폰 번호를 바꿨거든요 이거 수정해야 되지 않나요,질문
교육 환경 보호 구역 범위는 어떻게 알 수 있습니까,질문
온라인으로 할 수 있는 방법은 없나요,질문
네 성함이랑 연락처 말씀해 주시겠어요,질문
